Number, Message, Solution, deduplicationKeys
13008, 'Invalid content reference on ${element1}: ${contentReference}', 'Unknown', 'errorNumber'
13009, 'Cannot unroll ${element}. Create an explicit choice element first.', 'Unknown', 'errorNumber'
13010, 'Cannot unroll ${element1} at ${element2}: invalid SHR element.', 'Unknown', 'errorNumber'
13011, 'Cannot make choice element explicit since it is not a choice ([x]): ${element}', 'Unknown', 'errorNumber'
13012, 'Cannot make choice element explicit at ${element}. Invalid SHR identifier: ${identifier}.', 'Unknown', 'errorNumber'
13013, 'Invalid target path. Cannot apply cardinality constraint.', 'Unknown', 'errorNumber'
13014, 'Cannot constrain cardinality from ${cardinality1} to ${cardinality2} ', 'Unknown', 'errorNumber'
13015, 'Invalid target path. Cannot apply fixed value.', 'Unknown', 'errorNumber'
13016, 'Currently  only fixing codes is supported (value must contain '#'). Unable to fix to ${value}.', 'Unknown', 'errorNumber'
13017, 'Incompatible cardinality (using aggregation). Source cardinality ${srcCardinality} does not fit in target cardinality ${targetCardinality}', 'Unknown', 'errorNumber'
13018, 'Cannot constrain cardinality to ${card} because cardinality placement is ambiguous. Explicitly constrain', 'parent elements in target path.', 'errorNumber'
13019, 'Cannot constrain cardinality to ${card} because there is no tail cardinality min that can get us there', 'Unknown', 'errorNumber'
13020, 'Cannot constrain cardinality to ${card} because there is no tail cardinality max that can get us there', 'Unknown', 'errorNumber'
13021, 'Cannot constrain cardinality to ${card} because there is no tail cardinality that can get us there', 'Unknown', 'errorNumber'
13022, 'Mismatched types. Cannot map ${sourceValue} to ${mapping}', 'Find the EntryElement referenced in the error details and change it to match data type of target field'. 'Unknown', 'errorNumber;mappingRule'
13023, 'Cannot resolve element definition for ${element}', 'Unknown', 'errorNumber'
13024, 'Failed to resolve element path from ${element1} to ${path1}', 'Unknown', 'errorNumber'
13025, 'Applying constraints to profiled children not yet supported. SHR doesn\', 'Unknown', 'errorNumber'
13026, 'Failed to resolve path from ${element1} to ${path1} ', 'Unknown', 'errorNumber'
13027, 'Unsupported binding strength: ${bindingStrength1}', 'Unknown', 'errorNumber'
13028, 'Cannot change binding strength from ${bindingStrength1} to ${bindingStrength2}', 'Unknown', 'errorNumber'
13029, 'Cannot override value set constraint from ${uri1} to ${uri2}', 'Unknown', 'errorNumber'
13030, 'Found more than one value set to apply to ${element1}. This should never happen and is probably a bug in the tool.', 'Unknown', 'errorNumber'
13031, 'Found more than one code to fix on ${element1}. This should never happen and is probably a bug in the tool.', 'Unknown', 'errorNumber'
13032, 'Cannot fix code on ${element1} because source value is not code-like. This should never happen and is probably a bug in the tool. ', 'Unknown', 'errorNumber'
13033, 'Cannot fix code on ${element} because source value is not code-like. This should never happen and is probably a bug in the tool. ', 'Unknown', 'errorNumber'
13034, 'Cannot override code constraint from ${value1} to ${value2} ', 'Unknown', 'errorNumber'
13035, 'Cannot override boolean constraint from ${value1} to ${value2}', 'Unknown', 'errorNumber'
13036, 'Found more than one boolean to fix on ${element1}. This should never happen and is probably a bug in the tool.', 'Unknown', 'errorNumber'
13037, 'Conversion from ${value1} to one of ${type1} drops boolean constraints', 'Unknown', 'errorNumber'
13038, 'Conversion from ${value1} to one of ${type1} drops value set constraints', 'Unknown', 'errorNumber'
13039, 'Conversion from ${value1} to one of ${type1} drops code constraints', 'Unknown', 'errorNumber'
13040, 'Conversion from ${value1} to one of ${type1} drops includesCode constraints', 'Unknown', 'errorNumber'
13041, 'Unable to establish namespace for ${elementName1}', 'Double check imports and element name spelling.', 'errorNumber'
13042, 'No slice name supplied for target. This should never happen and is probably a bug in the tool.', 'Unknown', 'errorNumber'
13043, 'Couldn’t find target in slice ${slice} (Exporting)', 'Unknown', 'errorNumber'
13044, 'Target resolves to multiple elements but is not sliced', 'Unknown', 'errorNumber'
13045, 'Unable to establish namespace for ${field1} (Extensions)', 'Unknown', 'errorNumber'
13046, 'Mapping to ${mapTarget} 's ${ruleTarget}: slice could not be found.', 'Unknown', 'errorNumber'
13047, 'Couldn't find sd to unroll ${element1} ${element2} ${element3}', 'Unknown', 'errorNumber'
13048, 'Cannot override code constraint from ${system1} | ${code1} to ${system2} | ${code2} ', 'Unknown', 'errorNumber'
13049, 'Unexpected error processing mapping to FHIR. Error is ${errorText}', 'Unknown', 'errorNumber'
13050, 'Unexpected error processing mapping rule. ${errorText} ', 'Unknown', 'errorNumber'
13051, 'Unexpected error adding extension. ${errorText}', 'Unknown', 'errorNumber'
13052, 'Unsupported field value type: ${fieldValue1}.',  'Unknown', 'errorNumber'
13053, 'Unsupported value type: ${valueType1}. ',  'Unknown', 'errorNumber'
13054, 'Using profile that is currently in the middle of processing: ${profileId}.', 'Unknown', 'errorNumber'
13055, 'Using extension that is currently in the middle of processing: ${extensionId}.', 'Unknown', 'errorNumber'
13056, 'Cannot fix ${target1} to ${value1} since ${target2} is not one of: ${allowableTypes1}.', 'Unknown', 'errorNumber'
13057, 'Could not fix ${target1} to ${value1}; failed to detect compatible type for value ${value2}.', 'Unknown', 'errorNumber'
13058, 'Cannot fix ${target1} to ${value1} since it is not a ${type1} type.', 'Unknown', 'errorNumber'
13059, 'Cannot fix ${target1} to ${value1} since it is already fixed to ${otherValue1}', 'Unknown', 'errorNumber'
13060, 'Could not determine how to map nested value (${elementPath}) to FHIR profile.', 'Occurs on the FHIR profile export when there are multiple levels of reference specified. e.g.: LaboratoryObservationTopic.Specimen.CollectionSite within LaboratoryObservationTopic. Resolved by creating a reference in the cimi entity to FHIR map in cimi_entity_map.txt.', 'errorNumber'
13061, 'Mapping ${pathName1} sub-fields is currently not supported.',  'Unknown', 'errorNumber'
13063, 'Could not find FHIR element with ${path1} for content profile rule with ${path2}',  'Unknown', 'errorNumber'
13064, 'Could not find FHIR element for content profile rule with path ${path}',  'Unknown', 'errorNumber'
13065, 'Could not find FHIR element subextension for content profile rule with path ${path}',  'Unknown', 'errorNumber'
13070, 'Cannot make choice element explicit at ${id1}. Invalid identifier: ${id2}. ', 'Unknown', 'errorNumber'
13071, 'Cannot make choice element explicit at ${element1}. Could not find compatible type match for: ${element2}.', 'Unknown', 'errorNumber'
13072, 'Target path ${targetPath1} and slice path ${slicePath1} are not compatible. ', 'Unknown', 'errorNumber'
13073, 'Could not resolve sliced path: ${slicedPath1} (likely a tooling issue).',  'Unknown', 'errorNumber'
13074, 'Could not find element to slice at ${slicePath1}',  'Unknown', 'errorNumber'
13075, 'Cannot create slice since there is no slice-on command.',  'Unknown', 'errorNumber'
13076, 'Unsupported choices in fields',  'Unknown', 'errorNumber'
13082, 'Unexpected error exporting element to FHIR Logical Model. ${errorText} ',  'Unknown', 'errorNumber'
13114, 'Cannot create extension with value[x] type: ${type}', 'Check value to ensure it is a primitive, maps to a FHIR datatype, or is an Entry (which allows references)', 'errorNumber'
13115, 'Couldn\'t identify appropriate Extension.value[x] value for ${elementId}. Is it an attempt to reference a non-Entry?', 'Check value to ensure it is a primitive, maps to a FHIR datatype, or is an Entry (which allows references)', 'errorNumber'
13116, 'Package-id '${packageId}' (found in package-list.json) does not match npm-name '${npmName}' from config file', 'Fix packageId in package-list.json file', 'errorNumber'
13117, 'Canonical URL '${packageUrl}' (found in package-list.json) does not match canonical URL '${canonicalUrl}' from config file', 'Fix canonical URL in package-list.json file', 'errorNumber'
13118, 'The package-list.json file must have at least one listed publication object', 'Add at least one publication object.', 'errorNumber'
13119, 'The first publication object in the package-list.json list must be the CI build (with "version":"curent", "status":"ci-build", and "current":true)', 'Add the CI Build entry to the publication objects in package-list.json', 'errorNumber'
13120, 'The package-list.json contains the invalid (placeholder) path for the CI build: ${ciPath}', 'Update the path to the CI build with the real CI build URL', 'errorNumber'
13121, 'Namespace strategy requires config.implementationGuide.primarySelectionStrategy.primary to be an array', 'Update the config file so that config.implementationGuide.primarySelectionStrategy.primary is an array', 'errorNumber'
13122, 'Hybrid strategy requires config.implementationGuide.primarySelectionStrategy.primary to be an array', 'Update the config file so that config.implementationGuide.primarySelectionStrategy.primary is an array', 'errorNumber'
13123, 'Specified extraResources path is not valid: ${path}', 'Fix or remove the implementationGuide.extraResources value in the config to be a valid path', 'errorNumber'
13124, 'Invalid extra resource. Extra resource JSON must include id and resourceType properties: ${resourcePath}.', 'Add id and/or resourceType to the resource', 'errorNumber'
13125, 'Invalid extra resource. IG is for FHIR ${igVersion}, but resource is for FHIR ${resourceVersion}: ${resourcePath}', 'Replace resource with resource using same FHIR version as the IG', 'errorNumber'
13126, 'Invalid extra resource. Only the following resource types are currently supported: StructureDefinition, ValueSet, CodeSystem, SearchParameter, OperationDefinition, CapabilityStatement, Conformance.  Found: ${resourceType}.', 'Remove unsupported resource.', 'errorNumber'
13127, 'Invalid extra resource.  Resource must be valid JSON: ${resourcePath}.', 'Remove invalid JSON resource.', 'errorNumber'
13128, 'Specified examples path is not valid: ${path}', 'Fix implementationGuide.examples config value to point to valid path', 'errorNumber'
13129, 'Cumulative slice min cardinalities ${totalMinimum} exceed the max cardinality (${maxCard}) for the containing array at ${baseArray}.', 'Unknown, 'errorNumber'
